Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",N/A,Blau,S-014,1984,Brazil,Promo ,No,https://www.discogs.com/release/5298202-Kevin-Ayers-Stop-Playing-With-My-Heart-Champagne-And-Valium, $7.26 ,5298202,,5298202
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",Yes,Harvest,3C 006-05347,1976,Brazil,,No,https://www.discogs.com/release/2630316-Kevin-Ayers-Caribbean-Moon, $7.36 ,2630316,,2630316
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",Yes,Grabaciones Accidentales,GA 196,1988,Brazil,,No,https://www.discogs.com/release/3656528-Kevin-Ayers-Am-I-Really-Marcel, $7.37 ,3656528,,3656528
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",Yes,Harvest,1A 006-63715,1980,Brazil,,No,https://www.discogs.com/release/4568643-Kevin-Ayers-Money-Money-Money, $7.37 ,4568643,,4568643
"Ayers, Kevin",Caribbean Moon,CD,Yes,BGO Records,BGOCD142,1992,Brazil,,No,https://www.discogs.com/release/1445555-Kevin-Ayers-Bananamour, $7.39 ,1445555,,1445555
"Ayers, Kevin",Caribbean Moon,CD,Yes,BGO Records,BGOCD142,1992,Brazil,,No,https://www.discogs.com/release/1445555-Kevin-Ayers-Bananamour, $7.39 ,1445555,,1445555
"Ayers, Kevin",Caribbean Moon,CD,Yes,Harvest,07243-582778-2-1,2003,Brazil,,No,https://www.discogs.com/release/3369452-Kevin-Ayers-Whatevershebringswesing, $7.43 ,3369452,,3369452
"Ayers, Kevin",Caribbean Moon,CD,Yes,BGO Records,BGOCD13,1997,Brazil,Long Box (clear plastic) still sealed,Yes,https://www.discogs.com/release/1090585-Kevin-Ayers-And-The-Whole-World-Shooting-At-The-Moon, $7.47 ,1090585,,1090585
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",Yes,Island Records,13 387 AT,1974,Brazil,,No,https://www.discogs.com/release/2948024-Kevin-Ayers-Day-By-Day, $7.63 ,2948024,,2948024
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",N/A,Sire,SAA-709,1973,Canada,Promo ,No,https://www.discogs.com/release/4894655-Kevin-Ayers-Caribbean-Moon, $7.67 ,4894655,,4894655
"Ayers, Kevin",Caribbean Moon,CD,Yes,Gonzo Multimedia,HST388CD,2016,Canada,Reissue,No,https://www.discogs.com/release/8412628-Kevin-Ayres-As-Close-As-You-Think, $7.69 ,8412628,,8412628
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",Yes,Harvest,5C 006-05 347,1973,Canada,,No,https://www.discogs.com/release/6427259-Kevin-Ayers-Caribbean-Moon, $7.89 ,6427259,,6427259
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",N/A,Harvest,HAR-11297,1977,Canada,Promo ,No,https://www.discogs.com/release/14499179-Kevin-Ayers-Caribbean-Moon-, $7.96 ,14499179,,14499179
"Ayers, Kevin",Champagne And Valium / My Speeding Heart,"12"" Vinyl",Yes,Island Records,ILPS 19322,1980,Canada,Date is approximate reissue,No,https://www.discogs.com/release/14774387-Kevin-Ayers-Sweet-Deceiver, $8.15 ,14774387,,14774387
"Ayers, Kevin",Champagne And Valium / My Speeding Heart,CD,Yes,Reel Recordings,RR 009,2008,Canada,,No,https://www.discogs.com/release/1749834-Kevin-Ayers-What-More-Can-I-Say-, $8.15 ,1749834,,1749834
"Ayers, Kevin",Day By Day,"12"" Vinyl",Yes,Island Records,ILPS 19322,1975,Canada,,No,https://www.discogs.com/release/3943834-Kevin-Ayers-Sweet-Deceiver, $8.41 ,3943834,,3943834
"Ayers, Kevin",Deia…Vu,"12"" Vinyl",Yes,Harvest,1A 062-63647,1980,Canada,,No,https://www.discogs.com/release/1473743-Kevin-Ayers-Thats-What-You-Get-Babe, $8.42 ,1473743,,1473743
